db_title,qualifier,type,year_code,keep
HS ASSOC CLIN PROF-ACAD YR,clinical,associate professor,AY,0
ASSOC PROF IN RESIDENCE- AY,in residence,associate professor,AY,1
ACT ASSOC PROF-AY-B/E/E,b/e/e,associate professor,AY,1
ASSOC PROF-AY-BUS/ECON/ENG,b/e/e,associate professor,AY,1
HS ASSOC CLIN PROF-HCOMP,clinical,associate professor,,0
HS ASSOC CLIN PROF-FY,clinical,associate professor,,0
ASSOC PROF IN RES-AY,in residence,associate professor,AY,1
HS ASSOC CLIN PROFESSOR-FY,clinical,associate professor,FY,0
ASSOC PROF-AY-B/E/E,b/e/e,associate professor,AY,1
ASSOC PROF-ACAD YR-BUS/ENG,b/e/e,associate professor,AY,1
HS ASSOC CLIN PROF-AY,clinical,associate professor,AY,0
ASSOC PROF OF CLIN-FY,clinical,associate professor,FY,0
ASSOC PROFESSOR - FISCAL YR,,associate professor,FY,1
ACT ASSOC PROFESSOR-ACAD YR,,associate professor,AY,1
ASOC RES PROF-MILLER INST- AY,in residence,associate professor,AY,1
ASSOC PROF OF CLINICAL___,clinical,associate professor,,0
LECT-AY-CONTINUING,,lecturer,AY,1
LECTURER/SR. LECTURER-WOS-AY,,lecturer,,1
LECT-AY-1/9-CONTINUING,,lecturer,AY,1
LECTURER-AY-CONTINUING APPT.,,lecturer,AY,1
LECT IN SUMMER SESSION,,lecturer,summer,0
REGENTS' LECTURER,,lecturer,,1
LECTURER - ACADEMIC YEAR - 1/9,,lecturer,AY,1
LECTURER - ACADEMIC YEAR,,lecturer,AY,1
LECTURER-AY-1/9-CONTINUING,,lecturer,AY,1
LECTURER W/SEC EMPL EMERITUS,emeritus,lecturer,,0
LECT-AY,,lecturer,AY,1
LECT SOE-AY,,lecturer,AY,1
LECTURER W/SEC EMPL-ACAD YR,,lecturer,AY,1
LECT-FY,,lecturer,FY,1
LECT/SR LECT(WOS),,lecturer,,1
LECT PSOE-AY-100%,,lecturer,AY,1
LECTURER-MISC/PART-TIME,part-time,lecturer,,1
LECT-PSOE-ACAD YR-PART TIME,part-time,lecturer,AY,1
LECT PSOE-AY-PART TIME,part-time,lecturer,AY,1
LECT-AY-1/9,,lecturer,AY,1
LECTURER - FISCAL YEAR,,lecturer,FY,1
LECTURER IN SUMMER SESSION,,lecturer,summer,0
LECTURER-PSOE-ACAD YR-100%,,lecturer,AY,1
PROF-FY,,professor,FY,1
PROFESSOR IN RESIDENCE-ACAD YR,in residence,professor,AY,1
PROFESSOR-ACAD YR-BUS/ECON/ENG,b/e/e,professor,AY,1
PROF IN RES-AY-BUS/ECON/ENG,"in residence, b/e/e",professor,AY,1
PROF-FY-B/E/E,b/e/e,professor,FY,1
PROF-AY-B/E/E,b/e/e,professor,AY,1
PROFESSOR-LAW SCHOOL SCALE,law,professor,,1
PROFESSOR - FISCAL YR,,professor,FY,1
PROF IN RES-AY-B/E/E,"in residence, b/e/e",professor,AY,1
CLIN PROF-VOL,clinical,professor,,0
PROF OF CLIN-FY,clinical,professor,FY,0
HS CLINICAL PROFESSOR-ACAD YR,clinical,professor,AY,0
RES PROF-MILLER INST-AY,,professor,AY,1
HS CLIN PROF-AY,clinical,professor,AY,0
PROF IN RES-AY,in residence,professor,AY,1
PROFESSOR - ACADEMIC YEAR,,professor,AY,1
PROF-AY-LAW,law,professor,,1
ACT PROFESSOR-LAW SCHOOL SCALE,law,professor,,1
HS CLIN PROF-FY,clinical,professor,FY,0
PROFESSOR-ACAD YR-BUS/ENG,b/e/e,professor,AY,1
RES PROF-MILLER INST -ACAD YR,resident,professor,AY,1
UNIV PROF,university,professor,,1
PROFESSOR OF CLINICAL_____-FY,clinical,professor,FY,0
PROFESSOR OF CLINICAL___,clinical,professor,,0
PROF-AY,,professor,AY,1
PROF OF CLIN-HCOMP,clinical,professor,,0
HS CLIN PROFESSOR-FISCAL YR,clinical,professor,FY,0
PROF-AY                                           ,,professor,AY,1
PROF EMERITUS(WOS),emeritus,professor,,0
PROF-AY-1/9,,professor,AY,1
UNIVERSITY PROFESSOR,university,professor,,1
PROF-AY-B/E/E                                     ,b/e/e,professor,AY,1
PROF IN RES-ACAD YR-BUS/ENG,"in residence, b/e/e",professor,AY,1
ACT PROF-AY-LAW                                   ,law,professor,AY,1
ACT PROFESSOR (I-IX)-LAW SCH,law,professor,,1
ACT PROF-AY-LAW,law,professor,AY,1
SR LECT-AY-CONTINUING,continuing,lecturer,AY,1
SR LECT W/SEC EMPL-ACADEMIC YR,,lecturer,AY,1
SR LECT SOE-EMERITUS (WOS),emeritus,lecturer,,0
SENIOR LECTURER-ACAD YR-1/9TH,,lecturer,AY,1
SR. LECTURER-AY-CONTINUING,,lecturer,AY,1
SR LECT SOE-AY,,lecturer,AY,1
SR LECT W/SEC EMPL EMERITUS,emeritus,lecturer,,0
SR LECT W/SEC EMPL - FISCAL YR,,lecturer,FY,1
ADJ PROF-AY-1/9-B/E/E,b/e/e,adjunct professor,AY,0
ADJ PROF-AY,,adjunct professor,AY,0
ADJ PROF-FY-B/E/E,b/e/e,adjunct professor,FY,0
ADJ PROF-AY-B/E/E,b/e/e,adjunct professor,AY,0
ADJ PROF-FY,,adjunct professor,FY,0
ADJ PROF-FISCAL YR-BUS/ENG,b/e/e,adjunct professor,FY,0
ADJ PROF-ACAD YR-BUS/ECON/ENG,b/e/e,adjunct professor,AY,0
ADJUNCT PROFESSOR - FISCAL YR,,adjunct professor,FY,0
ADJUNCT PROFESSOR-ACADEMIC YR,,adjunct professor,AY,0
ADJ PROF-AY-1/9,,adjunct professor,AY,0
ADJ PROF-FY-BUS/ECON/ENG,b/e/e,adjunct professor,FY,0
ADJ PROF-ACAD YR-BUS/ENG,b/e/e,adjunct professor,AY,0
ADJUNCT PROFESSOR-ACAD YR-1/9,,adjunct professor,AY,0
ADJ PROF-AY-1/9-BUS/ECON/ENG,b/e/e,adjunct professor,AY,0
ASST ADJ PROF-ACAD YR-BUS/ENG,b/e/e,assistant adjunct professor,AY,0
ASST ADJ PROF-AY-BUS/ECON/ENG,b/e/e,assistant adjunct professor,AY,0
ASST ADJUNCT PROF-ACAD YR-1/9,,assistant adjunct professor,AY,0
ASST ADJUNCT PROFESSOR-ACAD YR,,assistant adjunct professor,AY,0
ASST ADJ PROF-AY-1/9,,assistant adjunct professor,AY,0
ASST ADJ PROF-AY-B/E/E,b/e/e,assistant adjunct professor,AY,0
ASST ADJUNCT PROFESSOR - FY,,assistant adjunct professor,FY,0
ASST ADJ PROF-AY,,assistant adjunct professor,AY,0
ASSOC ADJ PROF-AY-1/9-B/E/E,b/e/e,associate adjunct professor,AY,0
ASSOC ADJUNCT PROFESSOR - FY,,associate adjunct professor,FY,0
ASSOC ADJ PROF-AY,,associate adjunct professor,AY,0
ASSOC ADJUNCT PROFESSOR - AY,,associate adjunct professor,AY,0
ASSO ADJ PROF-AY-BUS/ECON/ENG,b/e/e,associate adjunct professor,AY,0
ASSOC ADJUNCT PROF-ACAD YR-1/9,,associate adjunct professor,AY,0
ASSOC ADJ PROF-AY-B/E/E,b/e/e,associate adjunct professor,AY,0
RESEARCH PROFESSOR,,research professor,,0
VST ASST PROFESSOR-ACADEMIC YR,,visiting assistant professor,AY,0
VIS ASST PROF,,visiting assistant professor,,0
VST ASST PROFESSOR-ACAD YR-1/9,,visiting assistant professor,AY,0
VST ASST PROFESSOR -FISCAL YR,,visiting assistant professor,FY,0
VST ASSOC PROFESSOR-AY-1/9TH,,visiting associate professor,AY,0
VIS ASSOC PROF,,visiting associate professor,,0
VST ASSOC PROFESSOR-ACAD YR,,visiting associate professor,AY,0
VISITING PROFESSOR-ACADEMIC YR,,visiting professor,AY,0
VSTG PROF-ACAD YR-BUS/ECON/ENG,b/e/e,visiting professor,AY,0
VSTG PROF-AY-1/9-BUS/ECON/ENGR,b/e/e,visiting professor,AY,0
VST PROFESSOR-LAW SCHOOL SCALE,law,visiting professor,,0
VSTG PROF-ACAD YR-1/9TH-B/E,b/e/e,visiting professor,AY,0
VSTG PROF-ACAD YR-BUS/ENG,b/e/e,visiting professor,AY,0
VISITING PROFESSOR - FISCAL YR,,visiting professor,FY,0
VIS PROF,,visiting professor,,0
VST PROFESSOR-ACAD YR-1/9 PMT,,visiting professor,AY,0
HS ASSOC CLIN PROF-GENCOMP-B,,,,0
HS CLIN PROF-HCOMP,,,,0
ASSOC CLIN PROF-VOL,,,,0
ASSOC PROFESSOR-AY-RECALLED,,,,0
"TECHNICIAN, ELECTRONICS",,,,0
ELECTRONIC COMM SPEC 4,,,,0
TCHL PROJECT MGT PROFL 5,,,,0
TECHNICAL PROJECT MGT PROF'L 2,,,,0
"TECHNICIAN, ELECTRONICS, PRIN",,,,0
PROF-ACAD YR-BUS/ENG-RECALLED,,,,0
COLLECTIONS REPR SR,,,,0
ELECTRICIAN LEADWORKER,,,,0
ELECTRN,,,,0
PROF-AY-BUS/ECON/ENG-RECALLED ,,,,0
REGISTRAR/COLLECTION SUPR 2,,,,0
INTELLECTUAL PROPERTY OFCR 2,,,,0
ELECTR TCHN SR,,,,0
PROFESSOR RECALLED-ACAD YR-1/9,,,,0
AUDIT PROFL 3,,,,0
PROFESSOR-FISCAL YR-RECALLED,,,,0
"TECHNICIAN, ELECTRONICS, SUPVR",,,,0
INTELLECTUAL PROPERTY OFCR 4,,,,0
ELECTR TCHN,,,,0
"COLLECTIONS REPRESENTATIVE, SR",,,,0
ATHLETICS PROFESSIONAL 2,,,,0
HIGH VOLT ELECTRICIAN,,,,0
ELECTR COMM SPEC 3,,,,0
LECT-MISCELLANEOUS/PART TIME,,,,0
ELECTRONIC COMM SPECIALIST 3,,,,0
ELECTRN WORKER LD,,,,0
"TECHNICIAN,ELECTRONICS,TRAINEE",,,,0
PROF-AY-1/9-BUS/ECON/ENG-RECAL,,,,0
CLINICAL PROFESSOR-VOLUNTEER,,,,0
ASSOC CLINICAL PROFESSOR-VOL,,,,0
REGISTRAR COLLECTION MGR 1,,,,0
ATH PROFL 3,,,,0
ELECTRONIC COMMUNICATION MGR 1,,,,0
ATHLETICS PROFESSIONAL 3,,,,0
INTELLECTUAL PROPERTY MGR 1,,,,0
ELECTR COMM MGR 1,,,,0
TCHL PROJECT MGT PROFL 2,,,,0
ATH PROFL 1,,,,0
PROFESSOR-ACAD YR-RECALLED,,,,0
"HIGH VOLT ELECTRICIAN, LEAD",,,,0
ELECTRICIAN,,,,0
ASST CLINICAL PROFESSOR-VOL,,,,0
SR LECT W/SEC-FISCAL YR-RECALL,,,,0
TECHNICAL PROJECT MGT PROF'L 5,,,,0
TECHNICAL PROJECT MGT PROF'L 3,,,,0
INTELLECTUAL PROPERTY OFFICR 1,,,,0
ATHLETICS PROFESSIONAL 4,,,,0
ADMIN NURSE PROFL 4,,,,0
TCHL PROJECT MGT PROFL 4,,,,0
ELECTRONIC COMM SPEC 5,,,,0
ATH PROFL 4,,,,0
ELECTNR,,,,0
INTELLECTUAL PROPERTY MGR 2,,,,0
INTELLECTUAL PROPERTY OFFICR 3,,,,0
INTELLECTUAL PROPERTY OFCR 1,,,,0
ELECTRONIC COMM SUPR 2,,,,0
INTELLECTUAL PROPERTY MGR 3,,,,0
TCHL PROJECT MGT PROFL 3,,,,0
ELECTR TCHN PRN,,,,0
"TECHNICIAN, ELECTRONICS, SR",,,,0
REGISTRAR/COLLECTION MANAGER 1,,,,0
INTELLECTUAL PROPERTY OFFICR 4,,,,0
ASST CLIN PROF-VOL,,,,0
ELECTR COMM SPEC 4,,,,0
LIBRARY PROFESSIONAL 4,,,,0
TECHNICAL PROJECT MGT PROF'L 4,,,,0
PROF-AY-1/9-BUS/ENG-RECALLED,,,,0
ATHLETICS PROFESSIONAL 1,,,,0
HIGH VOLT ELECTRN,,,,0
PROF-AY-BUS/ECON/ENG-RECALLED,,,,0
AUDIT PROFL 4,,,,0
ELECTRONIC COMM SPEC 2,,,,0
HIGH VOLT ELECTRN LD,,,,0
LIBRARY PROFL 4,,,,0
PROFESSOR EMERITUS (W/O SAL),,,,0
REGISTRAR COLLECTION SUPV 2,,,,0
ATH PROFL 2,,,,0
